time_ms,signal_V
1.300010400000000175e+02,3.172958740828901725e-03
1.300071599999999989e+02,2.124018591087573071e-03
1.300132800000000088e+02,2.441603809979292494e-03
1.300194000000000187e+02,2.198366800191225989e-03
1.300255200000000002e+02,2.927460689154504081e-03
1.300316400000000101e+02,2.636850978405103074e-03
1.300377599999999916e+02,2.441603809979292494e-03
1.300438800000000015e+02,2.347730884035198473e-03
1.300500000000000114e+02,2.717878553299912792e-03
1.300561199999999928e+02,2.333087346403389661e-03
1.300622400000000027e+02,1.999060403296476496e-03
1.300683599999999842e+02,2.654423223562518697e-03
1.300744799999999941e+02,2.174937139979293832e-03
1.300806000000000040e+02,1.659176055139321981e-03
1.300867199999999855e+02,3.223723004618872512e-03
1.300928399999999954e+02,2.727486626620562182e-03
1.300989600000000053e+02,3.197210351781776261e-03
1.301050800000000152e+02,2.385649796776051490e-03
1.301111999999999966e+02,2.747987579305416483e-03
1.301173200000000065e+02,2.616041455517609249e-03
1.301234400000000164e+02,2.367101315776276582e-03
1.301295599999999979e+02,2.451211883299914129e-03
1.301356800000000078e+02,2.984545223299911454e-03
1.301417999999999893e+02,2.207974873511764358e-03
1.301479199999999992e+02,2.439188492993626944e-03
1.301540400000000091e+02,2.503774333673075558e-03
1.301601599999999905e+02,2.339458151995432722e-03
1.301662800000000004e+02,2.210749305936371423e-03
1.301723999999999819e+02,2.299895327771250830e-03
1.301785199999999918e+02,2.156234373878240795e-03
1.301846400000000017e+02,2.460819956620563520e-03
1.301907599999999832e+02,2.391507211830484758e-03
1.301968799999999931e+02,3.110479646931535447e-03
1.302030000000000030e+02,3.265392575629993965e-03
1.302091200000000129e+02,2.483119105889081135e-03
1.302152400000000227e+02,2.500845626146164236e-03
1.302213600000000042e+02,2.460819956620563520e-03
1.302274800000000141e+02,1.745906759985010881e-03
1.302335999999999956e+02,2.338790476355018244e-03
1.302397200000000055e+02,2.587730616096461933e-03
1.302458400000000154e+02,2.737094699941211573e-03
1.302519599999999969e+02,3.003761369941210235e-03
1.302580800000000067e+02,3.270428039941208898e-03
1.302641999999999882e+02,2.470428039941213738e-03
1.302703199999999981e+02,2.470428039941213738e-03
1.302764399999999796e+02,2.442939151259981845e-03
1.302825599999999895e+02,2.801526265521714354e-03
1.302886799999999994e+02,1.937094699941216414e-03
1.302947999999999809e+02,2.737094699941211573e-03
1.303009199999999908e+02,2.340588672939375448e-03
1.303070400000000006e+02,2.029991390043284216e-03
1.303131600000000105e+02,2.395257880097562131e-03
1.303192800000000204e+02,2.023157739151848489e-03
1.303254000000000019e+02,2.767203735946605070e-03
1.303315200000000118e+02,3.282810535687546993e-03
1.303376399999999933e+02,2.514204367736611045e-03
1.303437600000000032e+02,2.213369443261836711e-03
1.303498800000000131e+02,2.213369443261836711e-03
1.303559999999999945e+02,2.319933435153798129e-03
1.303621200000000044e+02,2.737094699941211573e-03
1.303682399999999859e+02,2.414628311838473707e-03
1.303743599999999958e+02,2.600113121843938835e-03
1.303804800000000057e+02,2.038623227522379233e-03
1.303865999999999872e+02,2.779740516793249849e-03
1.303927199999999971e+02,3.295347326535219556e-03
1.303988399999999785e+02,3.054217073531179105e-03
1.304049599999999884e+02,2.756310856582455671e-03
1.304110800000000268e+02,2.756310856582455671e-03
1.304172000000000082e+02,2.489644186582457008e-03
1.304233200000000181e+02,2.620614074526517179e-03
1.304294399999999996e+02,2.213369443261836711e-03
1.304355600000000095e+02,2.294397018158172985e-03
1.304416799999999910e+02,2.489644186582457008e-03
1.304478000000000009e+02,2.516002554319274331e-03
1.304539200000000108e+02,2.498276024062245915e-03
1.304600399999999922e+02,2.784621696004130342e-03
1.304661600000000021e+02,2.269014886262299413e-03
1.304722799999999836e+02,2.139997470001347990e-03
1.304783999999999935e+02,2.222977516582430590e-03
1.304845200000000034e+02,2.500228495746187329e-03
1.304906399999999849e+02,2.364236107222111860e-03
1.304967599999999948e+02,2.499252259903078643e-03
1.305028799999999762e+02,2.709297251060921452e-03
1.305089999999999861e+02,2.252264591845049013e-03
1.305151200000000244e+02,2.499252259903078643e-03
1.305212400000000059e+02,2.765918929903105061e-03
1.305273600000000158e+02,2.765918929903105061e-03
1.305334799999999973e+02,2.303028855636463090e-03
1.305396000000000072e+02,2.391866317270063824e-03
1.305457200000000171e+02,2.199252249903083101e-03
1.305518399999999986e+02,3.032585599903103724e-03
1.305579600000000084e+02,2.199252249903083101e-03
1.305640799999999899e+02,2.825469316272338771e-03
1.305701999999999998e+02,2.775527003223726696e-03
1.305763200000000097e+02,2.460883455590756608e-03
1.305824399999999912e+02,2.014063046371417087e-03
1.305885600000000011e+02,2.626162919380697902e-03
1.305946799999999826e+02,2.009708211431204816e-03
1.306007999999999925e+02,2.104403088116629794e-03
1.306069199999999739e+02,2.353343227856824482e-03
1.306130400000000122e+02,2.485135066544352789e-03
1.306191600000000221e+02,3.051801746544346994e-03
1.306252800000000036e+02,2.422655972648707356e-03
1.306314000000000135e+02,2.440382502905957818e-03
1.306375199999999950e+02,2.773728816640008699e-03
1.306436400000000049e+02,2.456002276380903071e-03
1.306497600000000148e+02,1.979444900324645040e-03
1.306558799999999962e+02,2.903413898539902727e-03
1.306620000000000061e+02,3.051801746544346994e-03
1.306681199999999876e+02,2.485135066544352789e-03
1.306742399999999975e+02,2.098391387963416399e-03
1.306803600000000074e+02,2.301602728225632388e-03
1.306864799999999889e+02,2.986393945123039240e-03
1.306925999999999988e+02,2.246933521066390993e-03
1.306987199999999802e+02,2.218468396544354126e-03
1.307048399999999901e+02,2.751801736544351451e-03
1.307109600000000000e+02,2.485135066544352789e-03
1.307170800000000099e+02,2.485135066544352789e-03
1.307232000000000198e+02,2.929476659810859029e-03
1.307293200000000013e+02,2.344402820178281832e-03
1.307354400000000112e+02,2.218468396544354126e-03
1.307415599999999927e+02,2.389463954016540770e-03
1.307476800000000026e+02,2.010530162172119439e-03
1.307538000000000125e+02,2.526136971913922613e-03
1.307599199999999939e+02,2.494743139864974424e-03
1.307660400000000038e+02,1.694743129864978437e-03
1.307721599999999853e+02,2.228076469864975762e-03
1.307782799999999952e+02,2.286804905492739737e-03
1.307844000000000051e+02,2.485135066544352789e-03
1.307905199999999866e+02,2.218468396544354126e-03
1.307966399999999965e+02,2.344402820177671209e-03
1.308027599999999779e+02,2.396143319811278039e-03
1.308088799999999878e+02,2.218468396544354126e-03
1.308149999999999977e+02,2.572996292335288926e-03
1.308211200000000076e+02,2.787613892501483726e-03
1.308272400000000175e+02,2.503220692243457446e-03
1.308333599999999990e+02,2.809091081028280978e-03
1.308394800000000089e+02,3.248551495084961438e-03
1.308456000000000188e+02,2.680227949866498260e-03
1.308517200000000003e+02,2.761409809864973086e-03
1.308578400000000101e+02,2.752469402185930836e-03
1.308639599999999916e+02,2.577568901346222185e-03
1.308700800000000015e+02,2.376464317867754694e-03
1.308762000000000114e+02,2.780625956506271867e-03
1.308823199999999929e+02,2.800150673348017483e-03
1.308884400000000028e+02,3.049090813089988528e-03
1.308945599999999843e+02,2.041306853821173162e-03
1.309006799999999942e+02,2.718146862610598680e-03
1.309067999999999756e+02,1.874370524817009498e-03
1.309129199999999855e+02,2.387202912130598209e-03
1.309190399999999954e+02,1.971017873185654246e-03
1.309251600000000053e+02,1.971017873185654246e-03
1.309312800000000152e+02,1.893895241657200801e-03
1.309373999999999967e+02,2.060985855762254015e-03
1.309435200000000066e+02,2.513959286506273205e-03
1.309496400000000165e+02,3.047292626506270530e-03
1.309557599999999979e+02,2.224684917036229281e-03
1.309618800000000078e+02,2.090118645924649021e-03
1.309679999999999893e+02,1.971017873185654246e-03
1.309741199999999992e+02,2.666406362978296363e-03
1.309802400000000091e+02,2.516733708933155400e-03
1.309863599999999906e+02,2.851736887881511917e-03
1.309924800000000005e+02,2.247292616506274543e-03
1.309985999999999819e+02,2.566676021979880096e-03
1.310047199999999918e+02,2.256900699826924761e-03
1.310108400000000017e+02,2.790234029826921258e-03
1.310169599999999832e+02,2.256900699826924761e-03
1.310230799999999931e+02,2.523567359826922596e-03
1.310292000000000030e+02,2.405597108031731768e-03
1.310353200000000129e+02,2.300985587822795830e-03
1.310414400000000228e+02,2.523567359826922596e-03
