% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 97.17 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:21:48 -0500
% Time (s), Channel A (V), Channel B (V)
1.0108533600e-01, 6.6400000738e-02, 9.1866667688e-02
1.0109212800e-01, 6.6133334069e-02, 9.1900001022e-02
1.0109892000e-01, 6.6133334069e-02, 9.1900001022e-02
1.0110571200e-01, 6.6400000738e-02, 9.1933334355e-02
1.0111250400e-01, 6.6400000738e-02, 9.1933334355e-02
1.0111929600e-01, 6.6933334077e-02, 9.1933334355e-02
1.0112608800e-01, 6.6133334069e-02, 9.1966667689e-02
1.0113288000e-01, 6.6933334077e-02, 9.1966667689e-02
1.0113967200e-01, 6.6400000738e-02, 9.1966667689e-02
1.0114646400e-01, 6.6666667408e-02, 9.2000001023e-02
1.0115325600e-01, 6.6666667408e-02, 9.2000001023e-02
1.0116004800e-01, 6.6133334069e-02, 9.2033334357e-02
1.0116684000e-01, 6.6666667408e-02, 9.2033334357e-02
1.0117363200e-01, 6.6666667408e-02, 9.2033334357e-02
1.0118042400e-01, 6.6400000738e-02, 9.2066667690e-02
1.0118721600e-01, 6.6133334069e-02, 9.2066667690e-02
1.0119400800e-01, 6.6133334069e-02, 9.2066667690e-02
1.0120080000e-01, 6.6400000738e-02, 9.2100001024e-02
1.0120759200e-01, 6.6400000738e-02, 9.2100001024e-02
1.0121438400e-01, 6.6400000738e-02, 9.2100001024e-02
1.0122117600e-01, 6.6400000738e-02, 9.2133334358e-02
1.0122796800e-01, 6.6666667408e-02, 9.2133334358e-02
1.0123476000e-01, 6.6133334069e-02, 9.2166667691e-02
1.0124155200e-01, 6.6133334069e-02, 9.2166667691e-02
1.0124834400e-01, 6.6933334077e-02, 9.2166667691e-02
1.0125513600e-01, 6.6666667408e-02, 9.2200001025e-02
1.0126192800e-01, 6.6400000738e-02, 9.2200001025e-02
1.0126872000e-01, 6.6400000738e-02, 9.2200001025e-02
1.0127551200e-01, 6.6133334069e-02, 9.2233334359e-02
1.0128230400e-01, 6.6400000738e-02, 9.2233334359e-02
