% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 82.60 ms, time offset -156.6 ms, Normal acquisition mode, 28 averages
% Edge trigger: Channel B, level 90.00 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 90.0 mVpp, offset 91.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:16:39 -0500
% Time (s), Channel A (V), Channel B (V)
1.0704492000e-01, 1.7583333529e-01, 1.0266666781e-01
1.0705104000e-01, 1.7583333529e-01, 1.0266666781e-01
1.0705716000e-01, 1.7556666862e-01, 1.0270000114e-01
1.0706328000e-01, 1.7503333528e-01, 1.0270000114e-01
1.0706940000e-01, 1.7556666862e-01, 1.0270000114e-01
1.0707552000e-01, 1.7556666862e-01, 1.0273333448e-01
1.0708164000e-01, 1.7530000195e-01, 1.0273333448e-01
1.0708776000e-01, 1.7530000195e-01, 1.0273333448e-01
1.0709388000e-01, 1.7530000195e-01, 1.0276666781e-01
1.0710000000e-01, 1.7530000195e-01, 1.0276666781e-01
1.0710612000e-01, 1.7530000195e-01, 1.0276666781e-01
1.0711224000e-01, 1.7530000195e-01, 1.0280000114e-01
1.0711836000e-01, 1.7503333528e-01, 1.0280000114e-01
1.0712448000e-01, 1.7530000195e-01, 1.0280000114e-01
1.0713060000e-01, 1.7476666861e-01, 1.0283333448e-01
1.0713672000e-01, 1.7476666861e-01, 1.0283333448e-01
1.0714284000e-01, 1.7476666861e-01, 1.0283333448e-01
1.0714896000e-01, 1.7476666861e-01, 1.0286666781e-01
1.0715508000e-01, 1.7476666861e-01, 1.0286666781e-01
1.0716120000e-01, 1.7503333528e-01, 1.0286666781e-01
1.0716732000e-01, 1.7450000194e-01, 1.0290000114e-01
1.0717344000e-01, 1.7450000194e-01, 1.0290000114e-01
1.0717956000e-01, 1.7476666861e-01, 1.0290000114e-01
1.0718568000e-01, 1.7423333527e-01, 1.0293333448e-01
1.0719180000e-01, 1.7476666861e-01, 1.0293333448e-01
1.0719792000e-01, 1.7423333527e-01, 1.0293333448e-01
1.0720404000e-01, 1.7423333527e-01, 1.0296666781e-01
1.0721016000e-01, 1.7476666861e-01, 1.0296666781e-01
1.0721628000e-01, 1.7450000194e-01, 1.0296666781e-01
1.0722240000e-01, 1.7450000194e-01, 1.0300000115e-01
1.0722852000e-01, 1.7423333527e-01, 1.0300000115e-01
1.0723464000e-01, 1.7476666861e-01, 1.0300000115e-01
1.0724076000e-01, 1.7396666860e-01, 1.0303333448e-01
1.0724688000e-01, 1.7476666861e-01, 1.0303333448e-01
1.0725300000e-01, 1.7423333527e-01, 1.0303333448e-01
1.0725912000e-01, 1.7370000193e-01, 1.0306666781e-01
1.0726524000e-01, 1.7423333527e-01, 1.0306666781e-01
1.0727136000e-01, 1.7423333527e-01, 1.0306666781e-01
1.0727748000e-01, 1.7423333527e-01, 1.0310000115e-01
1.0728360000e-01, 1.7423333527e-01, 1.0310000115e-01
1.0728972000e-01, 1.7423333527e-01, 1.0310000115e-01
1.0729584000e-01, 1.7396666860e-01, 1.0313333448e-01
1.0730196000e-01, 1.7450000194e-01, 1.0313333448e-01
1.0730808000e-01, 1.7370000193e-01, 1.0313333448e-01
1.0731420000e-01, 1.7450000194e-01, 1.0316666781e-01
1.0732032000e-01, 1.7396666860e-01, 1.0316666781e-01
1.0732644000e-01, 1.7396666860e-01, 1.0316666781e-01
1.0733256000e-01, 1.7370000193e-01, 1.0320000115e-01
1.0733868000e-01, 1.7423333527e-01, 1.0320000115e-01
1.0734480000e-01, 1.7396666860e-01, 1.0320000115e-01
1.0735092000e-01, 1.7370000193e-01, 1.0323333448e-01
1.0735704000e-01, 1.7396666860e-01, 1.0323333448e-01
1.0736316000e-01, 1.7396666860e-01, 1.0323333448e-01
1.0736928000e-01, 1.7370000193e-01, 1.0326666781e-01
1.0737540000e-01, 1.7396666860e-01, 1.0326666781e-01
1.0738152000e-01, 1.7396666860e-01, 1.0326666781e-01
1.0738764000e-01, 1.7370000193e-01, 1.0330000115e-01
1.0739376000e-01, 1.7423333527e-01, 1.0330000115e-01
1.0739988000e-01, 1.7370000193e-01, 1.0330000115e-01
1.0740600000e-01, 1.7370000193e-01, 1.0333333448e-01
1.0741212000e-01, 1.7423333527e-01, 1.0333333448e-01
1.0741824000e-01, 1.7370000193e-01, 1.0333333448e-01
1.0742436000e-01, 1.7396666860e-01, 1.0336666782e-01
1.0743048000e-01, 1.7450000194e-01, 1.0336666782e-01
1.0743660000e-01, 1.7370000193e-01, 1.0336666782e-01
1.0744272000e-01, 1.7370000193e-01, 1.0340000115e-01
1.0744884000e-01, 1.7423333527e-01, 1.0340000115e-01
1.0745496000e-01, 1.7343333526e-01, 1.0340000115e-01
1.0746108000e-01, 1.7370000193e-01, 1.0343333448e-01
1.0746720000e-01, 1.7370000193e-01, 1.0343333448e-01
1.0747332000e-01, 1.7396666860e-01, 1.0343333448e-01
1.0747944000e-01, 1.7370000193e-01, 1.0346666782e-01
1.0748556000e-01, 1.7423333527e-01, 1.0346666782e-01
1.0749168000e-01, 1.7370000193e-01, 1.0346666782e-01
1.0749780000e-01, 1.7396666860e-01, 1.0350000115e-01
1.0750392000e-01, 1.7370000193e-01, 1.0350000115e-01
1.0751004000e-01, 1.7343333526e-01, 1.0350000115e-01
1.0751616000e-01, 1.7370000193e-01, 1.0353333448e-01
1.0752228000e-01, 1.7450000194e-01, 1.0353333448e-01
1.0752840000e-01, 1.7423333527e-01, 1.0353333448e-01
1.0753452000e-01, 1.7396666860e-01, 1.0356666782e-01
1.0754064000e-01, 1.7370000193e-01, 1.0356666782e-01
1.0754676000e-01, 1.7423333527e-01, 1.0356666782e-01
1.0755288000e-01, 1.7370000193e-01, 1.0360000115e-01
1.0755900000e-01, 1.7370000193e-01, 1.0360000115e-01
