% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.3410240000e-02, 1.4069999849e+00, -5.1993333911e-01
7.3423256000e-02, 1.4039999850e+00, -5.2026667245e-01
7.3436272000e-02, 1.4039999850e+00, -5.2056667245e-01
7.3449288000e-02, 1.4069999849e+00, -5.2086667246e-01
7.3462304000e-02, 1.4069999849e+00, -5.2120000579e-01
7.3475320000e-02, 1.4039999850e+00, -5.2150000580e-01
7.3488336000e-02, 1.4013333183e+00, -5.2180000580e-01
7.3501352000e-02, 1.4039999850e+00, -5.2213333914e-01
7.3514368000e-02, 1.4039999850e+00, -5.2243333914e-01
7.3527384000e-02, 1.4039999850e+00, -5.2276667248e-01
7.3540400000e-02, 1.4013333183e+00, -5.2306667248e-01
7.3553416000e-02, 1.4039999850e+00, -5.2340000582e-01
7.3566432000e-02, 1.4039999850e+00, -5.2370000582e-01
7.3579448000e-02, 1.4013333183e+00, -5.2400000583e-01
7.3592464000e-02, 1.4013333183e+00, -5.2433333916e-01
7.3605480000e-02, 1.4039999850e+00, -5.2463333917e-01
7.3618496000e-02, 1.4039999850e+00, -5.2493333917e-01
7.3631512000e-02, 1.4013333183e+00, -5.2526667251e-01
7.3644528000e-02, 1.4039999850e+00, -5.2556667251e-01
7.3657544000e-02, 1.3986666517e+00, -5.2586667251e-01
7.3670560000e-02, 1.4039999850e+00, -5.2620000585e-01
7.3683576000e-02, 1.3986666517e+00, -5.2650000585e-01
7.3696592000e-02, 1.3986666517e+00, -5.2680000586e-01
7.3709608000e-02, 1.3986666517e+00, -5.2713333919e-01
7.3722624000e-02, 1.4013333183e+00, -5.2743333920e-01
7.3735640000e-02, 1.4013333183e+00, -5.2776667253e-01
7.3748656000e-02, 1.4039999850e+00, -5.2806667254e-01
7.3761672000e-02, 1.3986666517e+00, -5.2840000587e-01
7.3774688000e-02, 1.4013333183e+00, -5.2870000588e-01
7.3787704000e-02, 1.4013333183e+00, -5.2900000588e-01
7.3800720000e-02, 1.4039999850e+00, -5.2933333922e-01
7.3813736000e-02, 1.3986666517e+00, -5.2963333922e-01
7.3826752000e-02, 1.4039999850e+00, -5.2993333922e-01
7.3839768000e-02, 1.3959999850e+00, -5.3026667256e-01
7.3852784000e-02, 1.3986666517e+00, -5.3056667257e-01
7.3865800000e-02, 1.4013333183e+00, -5.3086667257e-01
7.3878816000e-02, 1.3959999850e+00, -5.3120000591e-01
7.3891832000e-02, 1.3986666517e+00, -5.3150000591e-01
7.3904848000e-02, 1.3959999850e+00, -5.3180000591e-01
7.3917864000e-02, 1.3986666517e+00, -5.3213333925e-01
7.3930880000e-02, 1.4013333183e+00, -5.3243333925e-01
7.3943896000e-02, 1.3959999850e+00, -5.3273333926e-01
7.3956912000e-02, 1.4013333183e+00, -5.3306667259e-01
7.3969928000e-02, 1.3959999850e+00, -5.3340000593e-01
7.3982944000e-02, 1.3959999850e+00, -5.3370000593e-01
7.3995960000e-02, 1.3933333184e+00, -5.3400000594e-01
7.4008976000e-02, 1.3959999850e+00, -5.3433333927e-01
7.4021992000e-02, 1.3933333184e+00, -5.3463333928e-01
7.4035008000e-02, 1.3959999850e+00, -5.3493333928e-01
7.4048024000e-02, 1.3906666518e+00, -5.3526667262e-01
7.4061040000e-02, 1.3959999850e+00, -5.3556667262e-01
7.4074056000e-02, 1.3986666517e+00, -5.3586667262e-01
7.4087072000e-02, 1.3986666517e+00, -5.3620000596e-01
7.4100088000e-02, 1.3986666517e+00, -5.3650000596e-01
7.4113104000e-02, 1.3959999850e+00, -5.3680000597e-01
7.4126120000e-02, 1.3933333184e+00, -5.3713333931e-01
7.4139136000e-02, 1.3986666517e+00, -5.3743333931e-01
7.4152152000e-02, 1.3959999850e+00, -5.3773333931e-01
7.4165168000e-02, 1.3959999850e+00, -5.3806667265e-01
7.4178184000e-02, 1.3933333184e+00, -5.3840000599e-01
7.4191200000e-02, 1.3933333184e+00, -5.3870000599e-01
7.4204216000e-02, 1.3933333184e+00, -5.3900000599e-01
7.4217232000e-02, 1.3906666518e+00, -5.3933333933e-01
7.4230248000e-02, 1.3933333184e+00, -5.3963333933e-01
7.4243264000e-02, 1.3906666518e+00, -5.3993333934e-01
7.4256280000e-02, 1.3959999850e+00, -5.4026667267e-01
7.4269296000e-02, 1.3959999850e+00, -5.4056667268e-01
7.4282312000e-02, 1.3959999850e+00, -5.4086667268e-01
7.4295328000e-02, 1.3986666517e+00, -5.4120000602e-01
7.4308344000e-02, 1.3906666518e+00, -5.4150000602e-01
7.4321360000e-02, 1.3906666518e+00, -5.4180000602e-01
7.4334376000e-02, 1.3906666518e+00, -5.4213333936e-01
7.4347392000e-02, 1.3933333184e+00, -5.4243333936e-01
7.4360408000e-02, 1.3906666518e+00, -5.4273333937e-01
7.4373424000e-02, 1.3906666518e+00, -5.4306667270e-01
7.4386440000e-02, 1.3879999851e+00, -5.4340000604e-01
7.4399456000e-02, 1.3959999850e+00, -5.4370000604e-01
7.4412472000e-02, 1.3906666518e+00, -5.4400000605e-01
7.4425488000e-02, 1.3933333184e+00, -5.4433333939e-01
7.4438504000e-02, 1.3906666518e+00, -5.4463333939e-01
7.4451520000e-02, 1.3879999851e+00, -5.4493333939e-01
7.4464536000e-02, 1.3933333184e+00, -5.4526667273e-01
7.4477552000e-02, 1.3906666518e+00, -5.4556667273e-01
7.4490568000e-02, 1.3879999851e+00, -5.4586667274e-01
7.4503584000e-02, 1.3879999851e+00, -5.4620000607e-01
7.4516600000e-02, 1.3906666518e+00, -5.4650000608e-01
7.4529616000e-02, 1.3879999851e+00, -5.4680000608e-01
7.4542632000e-02, 1.3879999851e+00, -5.4713333942e-01
7.4555648000e-02, 1.3933333184e+00, -5.4743333942e-01
7.4568664000e-02, 1.3879999851e+00, -5.4773333942e-01
7.4581680000e-02, 1.3853333185e+00, -5.4806667276e-01
7.4594696000e-02, 1.3879999851e+00, -5.4840000610e-01
7.4607712000e-02, 1.3906666518e+00, -5.4870000610e-01
7.4620728000e-02, 1.3879999851e+00, -5.4900000610e-01
7.4633744000e-02, 1.3853333185e+00, -5.4933333944e-01
7.4646760000e-02, 1.3879999851e+00, -5.4963333944e-01
7.4659776000e-02, 1.3879999851e+00, -5.4993333945e-01
7.4672792000e-02, 1.3853333185e+00, -5.5026667278e-01
7.4685808000e-02, 1.3853333185e+00, -5.5056667279e-01
7.4698824000e-02, 1.3853333185e+00, -5.5086667279e-01
7.4711840000e-02, 1.3879999851e+00, -5.5120000613e-01
7.4724856000e-02, 1.3879999851e+00, -5.5150000613e-01
