% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (V), Channel B (V)
-2.2636056000e-02, 7.3400000816e-02, -1.5143333502e-01
-2.2618048000e-02, 7.3666667486e-02, -1.5140000168e-01
-2.2600040000e-02, 7.3933334155e-02, -1.5136666835e-01
-2.2582032000e-02, 7.3666667486e-02, -1.5136666835e-01
-2.2564024000e-02, 7.3666667486e-02, -1.5133333502e-01
-2.2546016000e-02, 7.3133334146e-02, -1.5133333502e-01
-2.2528008000e-02, 7.3666667486e-02, -1.5130000168e-01
-2.2510000000e-02, 7.3400000816e-02, -1.5130000168e-01
-2.2491992000e-02, 7.3400000816e-02, -1.5126666835e-01
-2.2473984000e-02, 7.3400000816e-02, -1.5123333501e-01
-2.2455976000e-02, 7.3400000816e-02, -1.5123333501e-01
-2.2437968000e-02, 7.3666667486e-02, -1.5120000168e-01
-2.2419960000e-02, 7.3666667486e-02, -1.5120000168e-01
-2.2401952000e-02, 7.3400000816e-02, -1.5116666835e-01
-2.2383944000e-02, 7.3400000816e-02, -1.5116666835e-01
-2.2365936000e-02, 7.3933334155e-02, -1.5113333501e-01
-2.2347928000e-02, 7.3933334155e-02, -1.5110000168e-01
-2.2329920000e-02, 7.3400000816e-02, -1.5110000168e-01
-2.2311912000e-02, 7.3933334155e-02, -1.5106666835e-01
-2.2293904000e-02, 7.4200000825e-02, -1.5106666835e-01
-2.2275896000e-02, 7.3400000816e-02, -1.5103333501e-01
-2.2257888000e-02, 7.3933334155e-02, -1.5103333501e-01
-2.2239880000e-02, 7.3133334146e-02, -1.5100000168e-01
-2.2221872000e-02, 7.3666667486e-02, -1.5096666835e-01
-2.2203864000e-02, 7.3666667486e-02, -1.5096666835e-01
-2.2185856000e-02, 7.3666667486e-02, -1.5093333501e-01
-2.2167848000e-02, 7.3133334146e-02, -1.5093333501e-01
-2.2149840000e-02, 7.3133334146e-02, -1.5090000168e-01
-2.2131832000e-02, 7.3666667486e-02, -1.5090000168e-01
-2.2113824000e-02, 7.3666667486e-02, -1.5086666834e-01
-2.2095816000e-02, 7.3400000816e-02, -1.5083333501e-01
-2.2077808000e-02, 7.3400000816e-02, -1.5083333501e-01
-2.2059800000e-02, 7.4200000825e-02, -1.5080000168e-01
-2.2041792000e-02, 7.3933334155e-02, -1.5080000168e-01
-2.2023784000e-02, 7.3666667486e-02, -1.5076666834e-01
-2.2005776000e-02, 7.3933334155e-02, -1.5076666834e-01
-2.1987768000e-02, 7.3400000816e-02, -1.5073333501e-01
-2.1969760000e-02, 7.3933334155e-02, -1.5070000168e-01
-2.1951752000e-02, 7.3666667486e-02, -1.5070000168e-01
-2.1933744000e-02, 7.3666667486e-02, -1.5066666834e-01
-2.1915736000e-02, 7.3666667486e-02, -1.5066666834e-01
-2.1897728000e-02, 7.4200000825e-02, -1.5063333501e-01
-2.1879720000e-02, 7.3400000816e-02, -1.5063333501e-01
-2.1861712000e-02, 7.3666667486e-02, -1.5060000167e-01
-2.1843704000e-02, 7.3666667486e-02, -1.5056666834e-01
-2.1825696000e-02, 7.3933334155e-02, -1.5056666834e-01
-2.1807688000e-02, 7.4200000825e-02, -1.5053333501e-01
-2.1789680000e-02, 7.3666667486e-02, -1.5053333501e-01
-2.1771672000e-02, 7.3933334155e-02, -1.5050000167e-01
-2.1753664000e-02, 7.4200000825e-02, -1.5046666834e-01
-2.1735656000e-02, 7.3933334155e-02, -1.5046666834e-01
-2.1717648000e-02, 7.3666667486e-02, -1.5043333501e-01
-2.1699640000e-02, 7.3133334146e-02, -1.5043333501e-01
-2.1681632000e-02, 7.3933334155e-02, -1.5040000167e-01
-2.1663624000e-02, 7.3400000816e-02, -1.5040000167e-01
-2.1645616000e-02, 7.4200000825e-02, -1.5036666834e-01
-2.1627608000e-02, 7.4200000825e-02, -1.5033333500e-01
-2.1609600000e-02, 7.3933334155e-02, -1.5033333500e-01
-2.1591592000e-02, 7.3933334155e-02, -1.5030000167e-01
-2.1573584000e-02, 7.3666667486e-02, -1.5030000167e-01
-2.1555576000e-02, 7.3666667486e-02, -1.5026666834e-01
-2.1537568000e-02, 7.3933334155e-02, -1.5026666834e-01
-2.1519560000e-02, 7.3666667486e-02, -1.5023333500e-01
-2.1501552000e-02, 7.3666667486e-02, -1.5020000167e-01
-2.1483544000e-02, 7.3400000816e-02, -1.5020000167e-01
-2.1465536000e-02, 7.3666667486e-02, -1.5016666834e-01
-2.1447528000e-02, 7.3666667486e-02, -1.5016666834e-01
-2.1429520000e-02, 7.3666667486e-02, -1.5013333500e-01
-2.1411512000e-02, 7.4200000825e-02, -1.5013333500e-01
-2.1393504000e-02, 7.3933334155e-02, -1.5010000167e-01
-2.1375496000e-02, 7.3400000816e-02, -1.5006666834e-01
-2.1357488000e-02, 7.3933334155e-02, -1.5006666834e-01
-2.1339480000e-02, 7.3933334155e-02, -1.5003333500e-01
-2.1321472000e-02, 7.3400000816e-02, -1.5003333500e-01
-2.1303464000e-02, 7.3933334155e-02, -1.5000000167e-01
-2.1285456000e-02, 7.3666667486e-02, -1.5000000167e-01
-2.1267448000e-02, 7.3933334155e-02, -1.4996666833e-01
-2.1249440000e-02, 7.4466667495e-02, -1.4993333500e-01
-2.1231432000e-02, 7.3666667486e-02, -1.4993333500e-01
-2.1213424000e-02, 7.3666667486e-02, -1.4990000167e-01
-2.1195416000e-02, 7.3666667486e-02, -1.4990000167e-01
-2.1177408000e-02, 7.3933334155e-02, -1.4986666833e-01
-2.1159400000e-02, 7.3933334155e-02, -1.4986666833e-01
-2.1141392000e-02, 7.4466667495e-02, -1.4983333500e-01
-2.1123384000e-02, 7.3933334155e-02, -1.4980000167e-01
-2.1105376000e-02, 7.4200000825e-02, -1.4980000167e-01
-2.1087368000e-02, 7.4200000825e-02, -1.4976666833e-01
-2.1069360000e-02, 7.4466667495e-02, -1.4976666833e-01
-2.1051352000e-02, 7.4200000825e-02, -1.4973333500e-01
-2.1033344000e-02, 7.3933334155e-02, -1.4973333500e-01
-2.1015336000e-02, 7.3933334155e-02, -1.4970000166e-01
-2.0997328000e-02, 7.4200000825e-02, -1.4966666833e-01
-2.0979320000e-02, 7.3933334155e-02, -1.4966666833e-01
-2.0961312000e-02, 7.3666667486e-02, -1.4963333500e-01
-2.0943304000e-02, 7.4200000825e-02, -1.4963333500e-01
-2.0925296000e-02, 7.3933334155e-02, -1.4960000166e-01
-2.0907288000e-02, 7.3400000816e-02, -1.4960000166e-01
-2.0889280000e-02, 7.3666667486e-02, -1.4956666833e-01
-2.0871272000e-02, 7.4200000825e-02, -1.4953333500e-01
-2.0853264000e-02, 7.3933334155e-02, -1.4953333500e-01
-2.0835256000e-02, 7.3933334155e-02, -1.4950000166e-01
-2.0817248000e-02, 7.3933334155e-02, -1.4950000166e-01
-2.0799240000e-02, 7.4466667495e-02, -1.4946666833e-01
-2.0781232000e-02, 7.4466667495e-02, -1.4946666833e-01
-2.0763224000e-02, 7.3933334155e-02, -1.4943333499e-01
-2.0745216000e-02, 7.4200000825e-02, -1.4940000166e-01
-2.0727208000e-02, 7.4466667495e-02, -1.4940000166e-01
-2.0709200000e-02, 7.3933334155e-02, -1.4936666833e-01
-2.0691192000e-02, 7.4200000825e-02, -1.4936666833e-01
-2.0673184000e-02, 7.4200000825e-02, -1.4933333499e-01
-2.0655176000e-02, 7.3933334155e-02, -1.4933333499e-01
-2.0637168000e-02, 7.3666667486e-02, -1.4930000166e-01
-2.0619160000e-02, 7.3933334155e-02, -1.4926666833e-01
-2.0601152000e-02, 7.4466667495e-02, -1.4926666833e-01
-2.0583144000e-02, 7.4466667495e-02, -1.4923333499e-01
-2.0565136000e-02, 7.3666667486e-02, -1.4923333499e-01
-2.0547128000e-02, 7.3666667486e-02, -1.4920000166e-01
-2.0529120000e-02, 7.3666667486e-02, -1.4920000166e-01
-2.0511112000e-02, 7.4466667495e-02, -1.4916666833e-01
-2.0493104000e-02, 7.4733334164e-02, -1.4913333499e-01
-2.0475096000e-02, 7.3933334155e-02, -1.4913333499e-01
-2.0457088000e-02, 7.3666667486e-02, -1.4910000166e-01
-2.0439080000e-02, 7.4200000825e-02, -1.4910000166e-01
-2.0421072000e-02, 7.4200000825e-02, -1.4906666832e-01
-2.0403064000e-02, 7.4466667495e-02, -1.4906666832e-01
-2.0385056000e-02, 7.4466667495e-02, -1.4903333499e-01
-2.0367048000e-02, 7.4200000825e-02, -1.4900000166e-01
-2.0349040000e-02, 7.4200000825e-02, -1.4900000166e-01
-2.0331032000e-02, 7.4466667495e-02, -1.4896666832e-01
-2.0313024000e-02, 7.4200000825e-02, -1.4896666832e-01
-2.0295016000e-02, 7.4466667495e-02, -1.4893333499e-01
-2.0277008000e-02, 7.4466667495e-02, -1.4893333499e-01
-2.0259000000e-02, 7.4200000825e-02, -1.4890000166e-01
