sample_index,intensity_counts,fitted_counts,residual_counts
0,0,-0.1026992664,0.1026992664
1,0,-0.1026992664,0.1026992664
2,0,-0.1026992664,0.1026992664
3,0,-0.1026992664,0.1026992664
4,0,-0.1026992664,0.1026992664
5,0,-0.1026992664,0.1026992664
6,0,-0.1026992664,0.1026992664
7,0,-0.1026992664,0.1026992664
8,0,-0.1026992664,0.1026992664
9,0,-0.1026992664,0.1026992664
10,0,-0.1026992664,0.1026992664
11,0,-0.1026992664,0.1026992664
12,0,-0.1026992664,0.1026992664
13,0,-0.1026992664,0.1026992664
14,0,-0.1026992664,0.1026992664
15,0,-0.1026992664,0.1026992664
16,0,-0.1026992664,0.1026992664
17,0,-0.1026992664,0.1026992664
18,0,-0.1026992664,0.1026992664
19,0,-0.1026992664,0.1026992664
20,0,-0.1026992664,0.1026992664
21,0,-0.1026992664,0.1026992664
22,0,-0.1026992664,0.1026992664
23,0,-0.1026992664,0.1026992664
24,0,-0.1026992664,0.1026992664
25,0,-0.1026992664,0.1026992664
26,0,-0.1026992664,0.1026992664
27,0,-0.1026992664,0.1026992664
28,0,-0.1026992664,0.1026992664
29,0,-0.1026992664,0.1026992664
30,0,-0.1026992664,0.1026992664
31,0,-0.1026992664,0.1026992664
32,0,-0.1026992664,0.1026992664
33,0,-0.1026992664,0.1026992664
34,0,-0.1026992664,0.1026992664
35,0,-0.1026992664,0.1026992664
36,0,-0.1026992664,0.1026992664
37,0,-0.1026992664,0.1026992664
38,0,-0.1026992664,0.1026992664
39,0,-0.1026992664,0.1026992664
40,0,-0.1026992664,0.1026992664
41,0,-0.1026992664,0.1026992664
42,0,-0.1026992664,0.1026992664
43,0,-0.1026992664,0.1026992664
44,0,-0.1026992664,0.1026992664
45,0,-0.1026992664,0.1026992664
46,0,-0.1026992664,0.1026992664
47,0,-0.1026992664,0.1026992664
48,0,-0.1026992664,0.1026992664
49,0,-0.1026992664,0.1026992664
50,0,-0.1026992664,0.1026992664
51,0,-0.1026992664,0.1026992664
52,0,-0.1026992664,0.1026992664
53,0,-0.1026992664,0.1026992664
54,0,-0.1026992664,0.1026992664
55,0,-0.1026992664,0.1026992664
56,0,-0.1026992664,0.1026992664
57,0,-0.1026992664,0.1026992664
58,0,-0.1026992664,0.1026992664
59,0,-0.1026992664,0.1026992664
