sample_index,intensity_counts,fitted_counts,residual_counts
162,9,18.44222835,-9.442228346
163,6,18.79296982,-12.79296982
164,6,19.14385804,-13.14385804
165,6,19.49489204,-13.49489204
166,6,19.84607085,-13.84607085
167,6,20.19739351,-14.19739351
168,6,20.54885904,-14.54885904
169,3,20.90046647,-17.90046647
170,1,21.25221483,-20.25221483
171,1,21.60410314,-20.60410314
172,3,21.95613042,-18.95613042
173,3,22.30829568,-19.30829568
174,6,22.66059795,-16.66059795
175,6,23.01303624,-17.01303624
176,6,23.36560955,-17.36560955
177,6,23.71831691,-17.71831691
178,12,24.07115731,-12.07115731
179,12,24.42412976,-12.42412976
180,12,24.77723327,-12.77723327
181,12,25.13046684,-13.13046684
182,15,25.48382945,-10.48382945
183,15,25.83732012,-10.83732012
184,15,26.19093784,-11.19093784
185,12,26.54468159,-14.54468159
186,12,26.89855037,-14.89855037
187,12,27.25254317,-15.25254317
188,9,27.60665897,-18.60665897
189,9,27.96089675,-18.96089675
190,9,28.31525551,-19.31525551
191,9,28.6697342,-19.6697342
192,9,29.02433183,-20.02433183
193,12,29.37904735,-17.37904735
194,15,29.73387975,-14.73387975
195,15,30.08882798,-15.08882798
196,18,30.44389104,-12.44389104
197,21,30.79906787,-9.799067866
198,26,31.15435744,-5.154357441
199,26,31.50975872,-5.509758723
200,30,31.86527067,-1.865270673
201,30,32.22089225,-2.220892248
202,31,32.5766224,-1.576622405
203,31,32.9324601,-1.932460098
204,35,33.28840428,1.711595719
205,38,33.6444539,4.355546098
206,38,34.00060791,3.99939209
207,40,34.35686525,5.643134749
208,43,34.71322487,8.286775131
209,43,35.06968571,7.930314294
210,43,35.4262467,7.573753298
211,43,35.78290679,7.217093206
212,43,36.13966492,6.860335082
213,45,36.49652001,8.503479992
214,40,36.853471,3.146529004
215,40,37.21051681,2.789483188
216,35,37.56765638,-2.567656383
217,31,37.92488863,-6.924888634
218,31,38.28221249,-7.282212489
219,30,38.63962687,-8.639626871
220,30,38.9971307,-8.997130698
221,30,39.35472289,-9.354722888
222,24,39.71240236,-15.71240236
223,24,40.07016802,-16.07016802
224,18,40.42801878,-22.42801878
225,15,40.78595356,-25.78595356
226,9,41.14397126,-32.14397126
227,9,41.50207079,-32.50207079
228,9,41.86025104,-32.86025104
229,12,42.21851093,-30.21851093
230,15,42.57684936,-27.57684936
231,15,42.93526521,-27.93526521
232,15,43.29375738,-28.29375738
233,18,43.65232478,-25.65232478
234,24,44.01096629,-20.01096629
235,24,44.3696808,-20.3696808
236,24,44.7284672,-20.7284672
237,21,45.08732438,-24.08732438
238,24,45.44625121,-21.44625121
239,24,45.80524659,-21.80524659
240,24,46.1643094,-22.1643094
241,24,46.5234385,-22.5234385
242,24,46.88263278,-22.88263278
243,21,47.24189112,-26.24189112
244,21,47.60121238,-26.60121238
245,21,47.96059544,-26.96059544
246,24,48.32003916,-24.32003916
247,26,48.67954241,-22.67954241
248,30,49.03910407,-19.03910407
249,30,49.39872298,-19.39872298
250,35,49.75839802,-14.75839802
251,38,50.11812805,-12.11812805
252,40,50.47791191,-10.47791191
253,40,50.83774847,-10.83774847
254,40,51.19763658,-11.19763658
255,43,51.55757509,-8.557575091
256,43,51.91756286,-8.917562858
257,43,52.27759873,-9.277598728
258,45,52.63768155,-7.637681547
259,45,52.99781016,-7.99781016
260,50,53.35798341,-3.35798341
261,51,53.71820014,-2.718200139
262,58,54.07845919,3.921540813
263,63,54.43875939,8.561240609
264,62,54.79909959,7.200900412
265,62,55.15947861,6.84052139
266,58,55.51989529,2.480104708
267,51,55.88034846,-4.880348464
268,48,56.24083695,-8.240836954
269,45,56.60135959,-11.60135959
270,40,56.9619152,-16.9619152
271,35,57.3225026,-22.3225026
272,30,57.68312062,-27.68312062
273,26,58.04376807,-32.04376807
274,18,58.40444379,-40.40444379
275,15,58.76514657,-43.76514657
276,12,59.12587524,-47.12587524
277,12,59.48662861,-47.48662861
278,15,59.84740549,-44.84740549
279,15,60.2082047,-45.2082047
280,18,60.56902503,-42.56902503
281,18,60.9298653,-42.9298653
282,21,61.29072431,-40.29072431
