sample_index,intensity_counts,fitted_counts,residual_counts
1575,0,-2.405883994,2.405883994
1576,0,-2.405894291,2.405894291
1577,0,-2.405904267,2.405904267
1578,0,-2.405913932,2.405913932
1579,0,-2.405923295,2.405923295
1580,0,-2.405932366,2.405932366
1581,0,-2.405941152,2.405941152
1582,0,-2.405949663,2.405949663
1583,0,-2.405957907,2.405957907
1584,0,-2.405965892,2.405965892
1585,0,-2.405973626,2.405973626
1586,0,-2.405981115,2.405981115
1587,0,-2.405988369,2.405988369
1588,0,-2.405995393,2.405995393
1589,0,-2.406002196,2.406002196
1590,0,-2.406008782,2.406008782
1591,0,-2.40601516,2.40601516
1592,0,-2.406021336,2.406021336
1593,0,-2.406027315,2.406027315
1594,0,-2.406033104,2.406033104
1595,0,-2.406038708,2.406038708
1596,0,-2.406044134,2.406044134
1597,0,-2.406049386,2.406049386
1598,0,-2.40605447,2.40605447
1599,0,-2.406059392,2.406059392
1600,0,-2.406064155,2.406064155
1601,0,-2.406068766,2.406068766
1602,0,-2.406073228,2.406073228
1603,0,-2.406077547,2.406077547
1604,0,-2.406081726,2.406081726
1605,0,-2.406085771,2.406085771
1606,0,-2.406089685,2.406089685
1607,0,-2.406093473,2.406093473
1608,0,-2.406097137,2.406097137
1609,0,-2.406100683,2.406100683
1610,0,-2.406104114,2.406104114
1611,0,-2.406107433,2.406107433
1612,0,-2.406110645,2.406110645
1613,0,-2.406113751,2.406113751
1614,0,-2.406116757,2.406116757
1615,0,-2.406119664,2.406119664
1616,0,-2.406122476,2.406122476
1617,0,-2.406125196,2.406125196
1618,0,-2.406127826,2.406127826
1619,0,-2.406130371,2.406130371
1620,0,-2.406132832,2.406132832
1621,0,-2.406135211,2.406135211
1622,0,-2.406137513,2.406137513
1623,0,-2.406139738,2.406139738
1624,0,-2.40614189,2.40614189
1625,0,-2.406143971,2.406143971
1626,0,-2.406145983,2.406145983
1627,0,-2.406147929,2.406147929
1628,0,-2.406149809,2.406149809
1629,0,-2.406151628,2.406151628
1630,0,-2.406153385,2.406153385
1631,0,-2.406155085,2.406155085
1632,0,-2.406156727,2.406156727
1633,0,-2.406158315,2.406158315
1634,0,-2.40615985,2.40615985
1635,0,-2.406161333,2.406161333
1636,0,-2.406162767,2.406162767
1637,0,-2.406164152,2.406164152
1638,0,-2.406165491,2.406165491
1639,0,-2.406166785,2.406166785
1640,0,-2.406168036,2.406168036
1641,0,-2.406169244,2.406169244
1642,0,-2.406170412,2.406170412
1643,0,-2.40617154,2.40617154
1644,0,-2.40617263,2.40617263
1645,0,-2.406173683,2.406173683
1646,0,-2.4061747,2.4061747
1647,0,-2.406175683,2.406175683
1648,0,-2.406176632,2.406176632
1649,0,-2.406177549,2.406177549
1650,0,-2.406178435,2.406178435
1651,0,-2.406179291,2.406179291
1652,0,-2.406180118,2.406180118
1653,0,-2.406180916,2.406180916
1654,0,-2.406181687,2.406181687
1655,0,-2.406182431,2.406182431
1656,0,-2.40618315,2.40618315
1657,0,-2.406183845,2.406183845
1658,0,-2.406184515,2.406184515
1659,0,-2.406185162,2.406185162
1660,0,-2.406185788,2.406185788
1661,0,-2.406186391,2.406186391
1662,0,-2.406186974,2.406186974
1663,0,-2.406187536,2.406187536
1664,0,-2.406188079,2.406188079
1665,0,-2.406188604,2.406188604
1666,0,-2.40618911,2.40618911
1667,0,-2.406189598,2.406189598
1668,0,-2.40619007,2.40619007
1669,0,-2.406190525,2.406190525
1670,0,-2.406190964,2.406190964
1671,0,-2.406191388,2.406191388
1672,0,-2.406191797,2.406191797
1673,0,-2.406192192,2.406192192
1674,0,-2.406192573,2.406192573
1675,0,-2.40619294,2.40619294
1676,0,-2.406193295,2.406193295
1677,0,-2.406193637,2.406193637
1678,0,-2.406193967,2.406193967
1679,0,-2.406194286,2.406194286
1680,0,-2.406194593,2.406194593
1681,0,-2.40619489,2.40619489
1682,0,-2.406195176,2.406195176
1683,0,-2.406195452,2.406195452
1684,0,-2.406195718,2.406195718
1685,0,-2.406195975,2.406195975
1686,0,-2.406196222,2.406196222
1687,0,-2.406196461,2.406196461
1688,0,-2.406196692,2.406196692
1689,0,-2.406196914,2.406196914
1690,0,-2.406197128,2.406197128
1691,0,-2.406197335,2.406197335
1692,0,-2.406197534,2.406197534
1693,0,-2.406197726,2.406197726
1694,0,-2.406197911,2.406197911
1695,0,-2.40619809,2.40619809
1696,0,-2.406198262,2.406198262
1697,0,-2.406198428,2.406198428
1698,0,-2.406198588,2.406198588
1699,0,-2.406198742,2.406198742
1700,0,-2.406198891,2.406198891
1701,0,-2.406199034,2.406199034
1702,0,-2.406199172,2.406199172
1703,0,-2.406199305,2.406199305
1704,0,-2.406199434,2.406199434
1705,0,-2.406199557,2.406199557
1706,0,-2.406199676,2.406199676
1707,0,-2.406199791,2.406199791
1708,0,-2.406199902,2.406199902
1709,0,-2.406200009,2.406200009
1710,0,-2.406200111,2.406200111
1711,0,-2.40620021,2.40620021
1712,0,-2.406200306,2.406200306
1713,0,-2.406200398,2.406200398
1714,0,-2.406200486,2.406200486
1715,0,-2.406200572,2.406200572
1716,0,-2.406200654,2.406200654
1717,0,-2.406200733,2.406200733
1718,0,-2.406200809,2.406200809
1719,0,-2.406200883,2.406200883
1720,0,-2.406200954,2.406200954
1721,0,-2.406201022,2.406201022
1722,0,-2.406201087,2.406201087
1723,0,-2.406201151,2.406201151
1724,0,-2.406201211,2.406201211
1725,0,-2.40620127,2.40620127
1726,0,-2.406201327,2.406201327
1727,0,-2.406201381,2.406201381
1728,0,-2.406201433,2.406201433
1729,0,-2.406201484,2.406201484
1730,0,-2.406201532,2.406201532
1731,0,-2.406201579,2.406201579
1732,0,-2.406201624,2.406201624
1733,0,-2.406201667,2.406201667
1734,0,-2.406201709,2.406201709
1735,0,-2.406201749,2.406201749
1736,0,-2.406201787,2.406201787
1737,0,-2.406201825,2.406201825
1738,0,-2.40620186,2.40620186
1739,0,-2.406201895,2.406201895
1740,0,-2.406201928,2.406201928
1741,0,-2.40620196,2.40620196
1742,0,-2.40620199,2.40620199
1743,0,-2.40620202,2.40620202
1744,0,-2.406202048,2.406202048
1745,0,-2.406202076,2.406202076
1746,0,-2.406202102,2.406202102
1747,0,-2.406202127,2.406202127
1748,0,-2.406202152,2.406202152
1749,0,-2.406202175,2.406202175
1750,0,-2.406202198,2.406202198
1751,0,-2.406202219,2.406202219
1752,0,-2.40620224,2.40620224
1753,0,-2.40620226,2.40620226
1754,0,-2.406202279,2.406202279
1755,0,-2.406202298,2.406202298
1756,0,-2.406202316,2.406202316
1757,0,-2.406202333,2.406202333
1758,0,-2.40620235,2.40620235
1759,0,-2.406202365,2.406202365
1760,0,-2.406202381,2.406202381
1761,0,-2.406202395,2.406202395
1762,0,-2.406202409,2.406202409
1763,0,-2.406202423,2.406202423
1764,0,-2.406202436,2.406202436
1765,0,-2.406202449,2.406202449
1766,0,-2.406202461,2.406202461
1767,0,-2.406202472,2.406202472
1768,0,-2.406202483,2.406202483
1769,0,-2.406202494,2.406202494
1770,0,-2.406202504,2.406202504
1771,0,-2.406202514,2.406202514
1772,0,-2.406202524,2.406202524
1773,0,-2.406202533,2.406202533
1774,0,-2.406202542,2.406202542
1775,0,-2.40620255,2.40620255
1776,0,-2.406202558,2.406202558
1777,0,-2.406202566,2.406202566
1778,0,-2.406202573,2.406202573
1779,0,-2.406202581,2.406202581
1780,0,-2.406202588,2.406202588
1781,0,-2.406202594,2.406202594
1782,0,-2.406202601,2.406202601
1783,0,-2.406202607,2.406202607
1784,0,-2.406202613,2.406202613
1785,0,-2.406202618,2.406202618
1786,0,-2.406202624,2.406202624
1787,0,-2.406202629,2.406202629
1788,0,-2.406202634,2.406202634
1789,0,-2.406202639,2.406202639
1790,0,-2.406202643,2.406202643
1791,0,-2.406202648,2.406202648
1792,0,-2.406202652,2.406202652
1793,0,-2.406202656,2.406202656
1794,0,-2.40620266,2.40620266
1795,0,-2.406202664,2.406202664
1796,0,-2.406202668,2.406202668
1797,0,-2.406202671,2.406202671
1798,0,-2.406202674,2.406202674
